file_path,label,source,filename,split,npy_path
/Users/stanleycliu/.cache/kagglehub/datasets/awsaf49/sonics-dataset/versions/2/fake_songs/fake_06982_suno_1.mp3,1,SONICS,fake_06982_suno_1.mp3,train,data/processed/ai_songs/fake_06982_suno_1.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/hiphop/hiphop.00055.wav,0,GTZAN,hiphop.00055.wav,train,data/processed/real_songs/hiphop.00055.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/reggae/reggae.00073.wav,0,GTZAN,reggae.00073.wav,train,data/processed/real_songs/reggae.00073.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/disco/disco.00052.wav,0,GTZAN,disco.00052.wav,train,data/processed/real_songs/disco.00052.npy
/Users/stanleycliu/.cache/kagglehub/datasets/awsaf49/sonics-dataset/versions/2/fake_songs/fake_20709_suno_0.mp3,1,SONICS,fake_20709_suno_0.mp3,train,data/processed/ai_songs/fake_20709_suno_0.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/rock/rock.00034.wav,0,GTZAN,rock.00034.wav,train,data/processed/real_songs/rock.00034.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/classical/classical.00002.wav,0,GTZAN,classical.00002.wav,train,data/processed/real_songs/classical.00002.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/metal/metal.00085.wav,0,GTZAN,metal.00085.wav,train,data/processed/real_songs/metal.00085.npy
/Users/stanleycliu/.cache/kagglehub/datasets/awsaf49/sonics-dataset/versions/2/fake_songs/fake_07921_udio_1.mp3,1,SONICS,fake_07921_udio_1.mp3,train,data/processed/ai_songs/fake_07921_udio_1.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/blues/blues.00066.wav,0,GTZAN,blues.00066.wav,train,data/processed/real_songs/blues.00066.npy
/Users/stanleycliu/.cache/kagglehub/datasets/awsaf49/sonics-dataset/versions/2/fake_songs/fake_20402_suno_0.mp3,1,SONICS,fake_20402_suno_0.mp3,train,data/processed/ai_songs/fake_20402_suno_0.npy
/Users/stanleycliu/.cache/kagglehub/datasets/awsaf49/sonics-dataset/versions/2/fake_songs/fake_10984_suno_0.mp3,1,SONICS,fake_10984_suno_0.mp3,train,data/processed/ai_songs/fake_10984_suno_0.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/jazz/jazz.00037.wav,0,GTZAN,jazz.00037.wav,train,data/processed/real_songs/jazz.00037.npy
/Users/stanleycliu/.cache/kagglehub/datasets/andradaolteanu/gtzan-dataset-music-genre-classification/versions/1/Data/genres_original/metal/metal.00027.wav,0,GTZAN,metal.00027.wav,train,data/processed/real_songs/metal.00027.npy
